source,target,version,fromRole,toRole
k9.mail.internet.TextBody,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Information Holder
k9.mail.internet.TextBody,k9.mail.internet.SizeAware,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Service Provider
k9.mail.message.MessageHeaderParser,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.message.MessageHeaderParser,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.oauth.OAuth2TokenProvider,k9.mail.AuthenticationFailedException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.ssl.DefaultTrustedSocketFactory,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.ssl.DefaultTrustedSocketFactory,k9.mail.ssl.TrustedSocketFactory,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.ssl.KeyChainKeyManager,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.ssl.TrustManagerFactory,k9.mail.ssl.LocalKeyStore,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.ssl.TrustedSocketFactory,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.RemoteStore,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.store.RemoteStore,k9.mail.ServerSettings,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.store.RemoteStore,k9.mail.Store,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.store.RemoteStore,k9.mail.ssl.TrustedSocketFactory,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
